,itemType,showType,id,imdbId,tmdbId,title,overview,releaseYear,originalTitle,directors,cast,rating,runtime,firstGenre,secondGenre,thirdGenre
0,show,movie,283665,tt9536804,movie/564096,"""BLESSED""","Supreme presents, ""BLESSED"" a full length video directed by William Strobeck featuring Tyshawn Jones, Ben Kadow, Sean Pablo, Aidan Mackey, Na-kel Smith, Sage Elsesser, Vincent Touzery, Kevin Bradley, Rowan Zorilla, Kevin Rodrigues, Mark Gonzales, Jason Dill. . .",2018,"""BLESSED""",['William Strobeck'],"['Tyshawn Jones', 'Ben Kadow', 'Aidan Mackey', 'Sean Pablo', 'Vincent Touzery', 'Rowan Zorilla', 'Na-kel Smith']",52,84.0,documentary,,
1,show,movie,54321,tt21816824,movie/1013577,"""Sr.""",Robert Downey Jr. pays tribute to his late father in this documentary chronicling the life and eclectic career of pioneering filmmaker Robert Downey Sr.,2022,"""Sr.""",['Chris Smith'],"['Robert Downey Sr.', 'Robert Downey Jr.', 'Chris Smith', 'Alan Arkin', 'Sean Hayes', 'Norman Lear', 'Lawrence Wolf']",71,89.0,documentary,,
2,show,movie,44089,tt1637976,movie/41371,#1 Cheerleader Camp,A pair of horny college guys get summer jobs at a sexy cheerleader camp.,2010,#1 Cheerleader Camp,['Mark Quod'],"['Charlene Tilton', 'Jay Gillespie', 'Harmony Blossom', 'Hector David Jr.', 'Erica Duke', 'Diane Jay Gonzalez', 'Maura Murphy']",39,91.0,comedy,,
4,show,movie,244214,tt10524744,movie/632307,#21xoxo,"A young woman drifts through a parallel digital world—searching for love by navigating speed dating, hipster culture, and post-net detachment. The woman’s adventure becomes increasingly surreal with each fleeting encounter and virtual connection.",2019,#21xoxo,"['Sine Özbilge', 'Imge Özbilge']","['Indra de Bruyn', 'Darya Gantura', 'Steven Boen']",58,10.0,animation,fantasy,
5,show,movie,8947220,tt9567458,movie/1090323,#AMFAD: All My Friends Are Dead,A wild and deadly night awaits a group of partying college friends when they rent an Airbnb for the biggest music festival of the year.,2024,#AMFAD: All My Friends Are Dead,['Marcus Dunstan'],"['Jade Pettyjohn', 'JoJo Siwa', 'Jennifer Ens', 'Ali Fumiko Whitney', 'Michaella Russell', 'Julian Haig', 'Justin Derickson']",47,91.0,horror,mystery,thriller
6,show,movie,9891788,tt29950491,movie/1267128,#BFFS,What's done in the dark is always brought into the light. A weekend trip for four girlfriends turns deadly after devastating secrets are revealed.,2024,#BFFS,"['Mya Speller Cullins', 'Terry T. Miles']","['Xica Brewer', 'Terry T. Miles', 'Marley Peek', 'Summer Peek', 'Spencer Kelly', 'Natasha Eli Pearson', 'Reshonnah Harvey']",40,57.0,drama,,
8,show,movie,56608,tt6856592,movie/476424,#Captured,"'#Captured' is a timely thriller about the dangers of the internet. A group of privileged high school kids run an illicit chat room where they live stream their drug fuelled sex parties to paying viewers on the internet. Little do they know there's a murderous zealot on a mission to rid the internet of sin and he is determined to ""delete"" everyone in their group.",2017,#Captured,['Joe Homokay'],"['Lizze Gordon', 'Cody Renee Cameron', 'Eve Marlowe', 'Adam Horner', 'Gabrielle Romanello', 'Charlie Ian', 'Cody Bruno']",30,81.0,horror,thriller,
9,show,movie,1702791,tt16194990,movie/1051518,#ChadGetsTheAxe,"Four social media influencers livestream their trip to Devil's Manor, the former home of a Satanic Cult. Things don't go well, but the views do go up.",2022,#ChadGetsTheAxe,['Travis Bible'],"['Spencer H. Levin', 'Michael Bonini', 'Taneisha Figueroa', 'Cameron Vitosh', 'Brandon Doyle', 'Jerilyn Armstrong']",54,83.0,comedy,horror,
10,show,movie,5298930,tt13745462,movie/1036134,#Clout,Four stories unfold in Atlanta around the city’s top influencers and their dependence on social media and their thirst for online prominence.,2022,#Clout,['Nina Stakz'],"['Taylor Latham', ""De'Andrae Freeman"", 'Jacky Oh', 'Teresa Celeste', 'Mikhail Lapread', 'Courtney Gray', 'China Green']",44,140.0,drama,,
12,show,movie,258313,tt5803530,movie/578935,#DigitalLivesMatter,"Hijinks ensue, when a disgruntled fan of a social media superstar hacks into his Instagram account and removes the star's millions of followers.",2016,#DigitalLivesMatter,['Terri J. Vaughn'],"['D.C. Young Fly', 'Emmanuel Hudson', 'Stevie J']",54,93.0,comedy,,
13,show,movie,18868528,tt14433518,movie/828434,#FBF,Hijinks ensue when a teen accidentally takes her mother's laptop and decides to pose as her mom in an attempt to repair her parents' relationship.,2022,#FBF,['Ilyssa Goodman'],"['Cree Cicchino', 'Gavin Warren', 'Ashley Judd', 'María Canals-Barrera', 'Emily Skinner', 'Ciara Riley Wilson', 'Kylee Russell']",56,84.0,drama,family,
14,show,movie,220751,tt15289312,movie/1038043,#Float,A vlogger and her friends are plunged into a life-or-death struggle when they encounter a sinister paranormal force on their annual river float trip.,2022,#Float,['Zac Locke'],"['Kaya Coleman', 'Scarlett Sperduto', 'Grant Morningstar', 'Kate Mayhew', 'Christina Nguyen', 'Matt Wise', 'Miguel Muñoz']",31,76.0,horror,,
15,show,movie,122248,tt5233106,movie/416304,#FollowFriday,The #FollowFriday hashtag gets a different twist in this horror mystery where viewers can choose which character falls prey to a social media killer.,2016,#FollowFriday,['Micho Rutare'],"['Courtney Lakin', 'Joseph Poliquin', 'Ashley Bratcher', 'Elliott Armstrong', 'Ramsey Hanchette', 'Madison Junod', 'Kim Little']",29,90.0,thriller,,
16,show,movie,109246,tt7272948,movie/606966,#FollowMe,"A British YouTuber takes her two besties on a social media trip in Southern California, but an unknown evil puts a warning of death on their car.",2019,#FollowMe,['Sam Hardy'],"['Kara Kingsward-Hughes', 'Scarlett Davies', 'Maria Louis', 'Tyler Gallant', 'Connor Garelick', 'Ike Catcher', 'Sam Hardy']",38,90.0,horror,thriller,
17,show,movie,335969,tt6959552,movie/510192,#GeorgeWashington,Meet the Father of Our Country in a whole new way as historians analyze George Washington's voluminous correspondence. Setting out his contacts and letters in the modern framework of a Facebook profile gives Washington's busy and productive career a new transparency.,2017,#GeorgeWashington,[],[],48,12.0,documentary,,
18,show,movie,40188,tt3526286,movie/301325,#Horror,"Based on a horrifying true story, a group of prep-school girls experience a deadly night of terror when a vicious online game turns bloody. Chloë Sevigny & Timothy Hutton star.",2015,#Horror,['Tara Subkoff'],"['Chloë Sevigny', 'Timothy Hutton', 'Natasha Lyonne', 'Balthazar Getty', 'Taryn Manning', 'Stella Schnabel', 'Sadie Seelert']",32,97.0,crime,horror,
19,show,movie,224511,tt10043726,movie/625540,#IMomSoHard Live,"A two-woman show about friendship, periods, sex after marriage, body image, and parenting failures from comics Kristin Hensley and Jen Smedley.",2019,#IMomSoHard Live,['Brian Volk-Weiss'],"['Kristin Hensley', 'Jen Smedley']",55,61.0,comedy,,
20,show,movie,115149,tt10850892,movie/629910,#Jowable,"Despite being surrounded and supported by friends, Elsa still feels miserable and envious of every couple she sees. Finally, Lady Luck smiles upon her and she meets a guy, and the attraction is instantly mutual.",2019,#Jowable,['Darryl Yap'],"['Kim Molina', 'Kakai Bautista', 'Cai Cortez', 'Jerald Napoles', 'Candy Pangilinan', 'Suzette Ranillo', 'Chad Kinis']",56,104.0,comedy,,
21,show,movie,122751,tt5713856,movie/632076,#Like,Rosie taps into a dark side she never knew she had when the mystery man who sexually exploited her sister goes back online trolling for new victims.,2019,#Like,['Sarah Pirozek'],"['Marc Menchaca', 'Jeff Wincott', 'Sarah Rich', 'Dakota Lustick', 'Samantha Nicole Dunn', 'Liz Meinders', 'Marin Gazzaniga']",48,91.0,thriller,,
22,show,movie,352083,tt21187744,movie/1000221,#LookAtMe,A teenage YouTuber who lampoons a megachurch pastor in defense of his gay twin faces the full wrath of society and the criminal justice system.,2022,#LookAtMe,['Ken Kwek'],"['Yao', 'Pamela Oei', 'Shu Yi Ching', 'Fakkah Fuzz', 'Rishi Budhrani', 'Ghafir Akbar', 'Sivakumar Palakrishnan']",57,108.0,drama,,
23,show,movie,18894009,tt23062412,movie/1312924,#LoveGoals,"Kamela is all about her business and not interested in being in a relationship. Her best friend Eli, a firm believer in love, has other plans for her.",2022,#LoveGoals,['Brandon Cornett'],"['Tory Monay', 'K.C ""Versatile"" Clark', 'Kenyatta Deett', 'Deandre Littleton', 'Jasper Yeo', 'Teddy Van Gough', 'Bianca Samone']",49,96.0,drama,,
24,show,movie,287731,tt3640928,movie/486816,#LoveSwag,A successful recording studio CEO and legendary ladies' man faces a reality check when he develops a medical condition that debilitates his love life.,2015,#LoveSwag,['Austin Davoren'],"['Giovanni Watson', 'Yaritza Betancourt', 'Charles Mathers', 'Anica Barbosa', 'Shyla Génair', 'Samira Saha', 'Adalgiza Chermont']",41,82.0,comedy,,
25,show,movie,111661,tt2538204,movie/359732,#Lucky Number,"A man on a losing streak jumps to VIP and A-List status when he gets the old cell number of his basketball idol, who is about to find out the ruse.",2015,#Lucky Number,['Brendan Gabriel Murphy'],"['Tom Pelphrey', 'Natalie Hall', 'Method Man', 'Malcolm Goodwin', 'Joseph Russo', 'Milena Govich', 'Carme Boixadera']",50,79.0,comedy,,
26,show,movie,14378536,tt33794261,movie/1368213,#MissingCouple,A young influencer couple set out to renovate an abandoned farm in rural Mississippi but find the farm itself full of disturbing surprises.,2024,#MissingCouple,"['Jacques Edeline', 'Oliver Mauldin']","['Janna Jenkins', 'Austin Jenkins', 'Ginny Randall', 'Alicia Vaughn']",53,93.0,horror,,
27,show,movie,267658,tt3583186,movie/617917,#NoJoke,A viral campaign to bring awareness to school bullying brings musician and philanthropist Andrew Cole face-to-face with his childhood tormenter.,2019,#NoJoke,['Manfred Becker'],"['Andrew Cole', 'Patrick Stewart', 'Jane Lynch', 'Michael Biehn', 'Jeff Goldblum', 'Charlie Sheen', 'Diego Boneta']",54,70.0,documentary,,
28,show,movie,2700053,tt18940322,movie/991291,#No_Filter,"A demonic force invades viral sensation Anna’s feed, blurring reality and virtuality. She must fight to survive or be taken offline.",2022,#No_Filter,['Michael Dupret'],"['Hannah McIver', 'Jasmine Daoud', 'Samuel van der Zwalmen', 'Carole Weyers', 'David Coburn', 'Priya Blackburn', 'Janis Ahern']",42,87.0,horror,,
29,show,movie,206164,tt3950838,movie/731828,#O2LForever,"Join Connor Franta, Jc Caylen, Kian Lawley, Ricky Dillon, Sam Pottorff and Trevor Moran as the YouTube supergroup Our 2nd Life (O2L) embarks upon their 2014 North American tour. Step inside their journey, from blogging in their bedrooms to performing in front of screaming fans across the country. This 95-minute adventure captures their launch into the next level of stardom while they try to stay grounded and maintain authentic connections with the communities that started it all.",2015,#O2LForever,['Michael Goldfine'],"['Connor Franta', 'Kian Lawley', 'J.C. Caylen', 'Sam Pottorff', 'Ricky Dillon', 'Trevi Moran']",56,95.0,documentary,music,
30,show,movie,8855874,tt30476508,movie/1214872,#OOTD: Outfit of the Designer,An Indonesian fashion designer studying in England finds her career compromised by an intoxicating love affair that challenges her dreams and values.,2024,#OOTD: Outfit of the Designer,['Dimas Anggara'],"['Jihane Almira', 'Rangga Nattra', 'Asmara Abigail', 'Derby Romero', 'Givina Lukita', 'Jolene Marie', 'Shelomita Diah']",54,107.0,drama,romance,
32,show,movie,130053,tt5646082,movie/490488,#Roxy,"When a girl falls for a hunky quarterback, her shy, but brainy friend conspires with the athlete to create a dream boy and woo her via social media.",2018,#Roxy,['Michael Kennedy'],"['Jake Short', 'Sarah Fisher', 'Booboo Stewart', 'Danny Trejo', 'Pippa Mackie', 'Jake M. Smith', 'Patricia Zentilli']",51,105.0,comedy,romance,
33,show,movie,83224,tt5531032,movie/419627,#SCREAMERS,"As a pair of internet experts dive into a series of frightening videos, they slowly realize that the evil behind the viral sensations is very real.",2016,#SCREAMERS,['Dean Matthew Ronalds'],"['Abbi Snee', 'Theodora Miranne', 'Tom Malloy', 'Griffin Matthews', 'Chris Bannow', 'Emanuela Galliussi']",41,82.0,horror,mystery,
35,show,movie,13383493,tt33615797,movie/1365578,It's All Over: The Kiss That Changed Spanish Football,Spanish footballers come together for the first time since the turbulent 2023 Women's World Cup and the kiss scandal that overshadowed their victory.,2024,#SeAcabó: Diario de las campeonas,['Joanna Pardos'],"['Jennifer Hermoso', 'Alexia Putellas', 'Irene Paredes', 'Aitana Bonmatí', 'Olga Carmona', 'Teresa Abelleira', 'Ivana Andrés']",68,95.0,documentary,,
36,show,movie,64829,tt3102208,movie/317467,Selfie,"Two days before their final exams, three teen girls make a seaside getaway to have the time of their lives.",2014,#Selfie,['Cristina Jacob'],"['Crina Semciuc', 'Flavia Hojda', 'Olimpia Melinte', 'Vlad Logigan', 'Alina Chivulescu', 'Flavia Hojda', 'Nicoleta Luciu']",60,125.0,comedy,,
