,itemType,showType,id,imdbId,tmdbId,title,overview,releaseYear,originalTitle,directors,cast,rating,runtime,firstAirYear,lastAirYear,creators,seasonCount,episodeCount,firstGenre,secondGenre,thirdGenre
3,show,series,16253379,tt18566094,tv/218510,#1 Happy Family USA,"From creator Ramy Youssef comes #1 Happy Family USA, an adult-animated series following the maniacally upbeat Husseins - the most patriotic, most peaceful, and most definitely-not-suspicious Muslim family in post-9/11 ""Amreeka."" With satire and absurdity, it redefines finding humor in hardship as they navigate the early 2000s under the watchful eyes of their terrified neighbors.",,#1 Happy Family USA,,"['Ramy Youssef', 'Alia Shawkat', 'Salma Hindy', 'Randa Jarrar', 'Mandy Moore', 'Chris Redd', 'Akaash Singh']",68,,2025.0,2025.0,"['Ramy Youssef', 'Pam Brady']",1.0,8.0,animation,comedy,
7,show,series,2437141,tt26732848,tv/222892,#BringBackAlice,"After missing social media influencer Alicja Stec returns with no memory of the past year, the drug-dealing brother of another missing teen sets out to prove the cases are connected ... and unravel the truth behind his sister's disappearance.",,#BringBackAlice,,"['Helena Englert', 'Sebastian Dela', 'Bartłomiej Deklewa', 'Katarzyna Gałązka', 'Vitalik Havryla', 'Marcel Opaliński', 'Mila Jankowska']",59,,2023.0,2023.0,[],1.0,6.0,crime,drama,mystery
11,show,series,7546981,tt30971252,tv/244442,#CyberSleuths: The Idaho Murders,TikTok crime sleuths sift through clues and explore leads as they investigate the gruesome Idaho Murders. Will they help or hurt the case?,,#CyberSleuths: The Idaho Murders,,"['Jenna', 'Betty', 'Riley', 'Paul Kwiatkowski', 'Jennifer Coffindaffer', 'Pamela Rutledge', 'Olivia']",45,,2024.0,2024.0,[],1.0,3.0,crime,documentary,
31,show,series,18890,tt3485248,tv/62535,#RichKids of Beverly Hills,E! A look into the privileged lives of several twenty-somethings.,,#RichKids of Beverly Hills,,"['Dorothy Wang', 'Jonny Drubel', 'Brendan Fitzpatrick', 'Morgan Stewart', 'Roxy Sowlaty', 'EJ Johnson', 'Bianca Espada']",34,,2014.0,2016.0,[],4.0,34.0,reality,,
34,show,series,19981401,tt5113818,tv/247804,#STI,Newly diagnosed STI sufferers discuss in painful detail the decisions they made that led to their transmission and how it could have been avoided.,,#STI,,"['Chris McNally', 'Stephen Boersma', 'Paniz Zade', 'Samer Salem', 'Emilija Baranac', 'Trezzo Mahoro', 'Andres Joseph']",49,,2016.0,2016.0,[],1.0,6.0,comedy,drama,
39,show,series,20238099,tt36153722,tv/292179,#Somebody's Son,"In this high stakes, emotionally charged dating experiment, three moms vet single women with the hope of finding potential partners for their sons.",,#Somebody's Son,,[],49,,2025.0,2025.0,[],1.0,12.0,reality,,
44,show,series,59209,tt19552690,tv/204948,#TextMeWhenYouGetHome,"Sparked by the worldwide movement, this true-crime docuseries shares real-life stories about women who have been attacked while out in public alone.",,#TextMeWhenYouGetHome,,"['Ashley Judd', 'Arturo Gonzalez']",62,,2022.0,2023.0,[],2.0,23.0,crime,,
51,show,series,6332,tt10311562,tv/101200,#blackAF,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",,#blackAF,,"['Kenya Barris', 'Rashida Jones', 'Iman Benson', 'Genneya Walton', 'Scarlet Spencer', 'Justin Claiborne', 'Ravi Cabot-Conyers']",67,,2020.0,2020.0,['Kenya Barris'],1.0,8.0,comedy,,
53,show,series,57910,tt5479120,tv/80105,#killerpost,"Exploring cases in which social media activity has had violent and deadly repercussions, featuring expert interviews and witness testimonies.",,#killerpost,,[],49,,2016.0,2016.0,[],1.0,0.0,crime,documentary,
66,show,series,1780,tt0086659,tv/2211,'Allo 'Allo!,Wartime sitcom about the French Resistance with the farcical events set around a cafe run by Rene Artois.,,'Allo 'Allo!,,"['Gorden Kaye', 'Carmen Silvera', 'Vicki Michelle', 'Richard Marner', 'Kim Hartman', 'Guy Siner', 'Kirsten Cooke']",79,,1984.0,1992.0,"['David Croft', 'Jeremy Lloyd']",9.0,82.0,comedy,history,war
